network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_Calls,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,Aggregate_complaint_count,aug_user_type,sep_user_type,aug_fav_a,sep_fav_a,Class
1439,1996.3692,1.2,17.5,2061880.552,906,0,56461,4,3G,,mobilink,ufone,Active
1443,878.83,60.56,2.5,171.8359,50,14497,8664,1,2G,2G,telenor,telenor,Active
1452,2506.39,14.36,76.25,3601110.346,744,0,1015,1,3G,3G,warid,ufone,Active
1452,515.2484,11.14,26.25,2381.3155,69,0,19300,1,2G,2G,telenor,telenor,Churned
1453,373.86,36.75,66.25,63943.9473,35,14628,4552,1,,3G,telenor,ufone,Active
1469,68.88,29.79,0,1.2246,7,0,1613,2,3G,3G,ptcl,ptcl,Churned
1472,1977.9044,36.75,1.25,0.1211,3460,44234,22404,1,Other,Other,ufone,ufone,Active
1476,402.1204,0,121.25,1835788.702,4,0,716,2,,,ptcl,ptcl,Active
1482,1402.31,0,116.25,10793566.93,393,8838,10434,1,Other,Other,telenor,ufone,Active
1487,1254.8604,90.32,0,4491.7324,921,1497,14184,4,Other,Other,ptcl,ufone,Active
1487,466.2008,0,3.75,13.9531,468,12856,7517,1,2G,2G,ptcl,ufone,Active
1488,1404.3444,45.07,146.25,1209653.019,178,16087,52733,1,3G,3G,ufone,ufone,Churned
1490,968.9784,21.98,38.75,72254.877,130,9538,40849,1,,,ufone,ufone,Churned
1500,1053.0588,59.47,3.75,17.998,122,33867,21572,1,Other,Other,mobilink,ufone,Active
1502,93.666,1.2,72.5,3851397.811,8,60,537,1,3G,3G,ufone,ptcl,Churned
1507,972.838,0,82.5,2162778.789,456,0,537,1,3G,3G,telenor,ufone,Active
1518,451.42,20.87,73.75,43029.7725,60,2917,14055,1,3G,3G,ptcl,ufone,Churned
1523,1495.5104,51.62,67.5,695944.6221,639,7500,3298,1,3G,3G,ptcl,ufone,Active
1529,219.0592,33.69,7.5,107.4082,41,1829,7696,2,3G,3G,zong,zong,Churned
1564,1513.65,13.7,172.5,15350682.25,516,0,9225,1,3G,3G,telenor,ufone,Active
1570,386.4308,12.25,2.5,49.6992,300,5472,3838,1,3G,3G,warid,ufone,Active
1589,2283.97,149.5,72.5,12941401.86,232,3370,179,2,3G,3G,zong,telenor,Active
1591,2301.418,14.69,0,1024838.754,647,46772,69418,1,,3G,warid,ufone,Active
1597,59.65,0.04,0,203.6465,79,1932,1254,1,2G,2G,ptcl,ptcl,Churned
1604,3273.0868,66.12,62.5,83012.2188,3490,24481,117931,2,2G,2G,ptcl,ufone,Active
1621,2279.89,23.9,26.25,1650224.25,1410,0,1374,1,3G,3G,zong,ufone,Active
1622,2609.8708,102.13,26.25,14549139.28,537,6862,26891,2,Other,Other,zong,ufone,Active
1625,466.73,2.92,0,824.752,40,4195,8903,2,2G,2G,warid,ufone,Active
1625,291.672,18.08,8.75,14613.6963,48,10673,3597,1,3G,3G,mobilink,ufone,Churned
1627,418.932,7.59,12.5,80186.9229,97,7246,3095,1,,,ptcl,ufone,Active
1628,163.554,20.23,41.25,11338.4248,24,0,6931,1,3G,,telenor,ptcl,Churned
1649,129.6908,0.01,27.5,484796.5537,18,526,537,1,3G,3G,0,ptcl,Active
1653,1105.912,13.72,60,2959285.291,527,0,895,1,3G,3G,telenor,ufone,Active
1669,1793.98,5.98,60,2890778.35,391,0,32193,4,3G,3G,zong,ufone,Active
1670,3443.4264,13.62,0,6576.8135,5727,58273,127941,4,Other,Other,telenor,ufone,Active
1673,875.4,0,0,126876.5254,865,0,0,1,3G,3G,warid,ufone,Active
1675,579.7812,25.16,17.5,274330.2383,48,6753,6346,1,3G,3G,telenor,ptcl,Churned
1685,1405.71,5.98,1.25,1590797.961,292,0,716,2,3G,3G,ptcl,ufone,Active
1686,1460.28,14.34,1.25,312416.3614,503,4565,19526,1,3G,3G,ufone,ufone,Active
1706,158.016,48.22,1.25,98.5938,22,1781,5175,1,3G,3G,ptcl,mobilink,Churned
1727,598.072,28.68,0,1024000,357,478,5735,5,3G,3G,telenor,ufone,Churned
1743,2220.414,90.84,20,36098.0088,1358,6998,31570,3,Other,Other,0,ufone,Active
1752,393.5116,47.66,3.75,6.5352,44,502,17006,1,,,mobilink,telenor,Churned
1754,590.0068,28.51,17.5,645.0088,67,3980,27917,1,2G,2G,zong,ptcl,Churned
1758,556.3616,5.25,0,190.5137,193,10655,10253,1,2G,2G,warid,ufone,Active
1770,1032.65,0,0,5080.3379,482,1231,7826,1,2G,2G,zong,ufone,Active
1772,1807.03,18.99,21.25,1609224.565,1012,1908,13709,1,3G,3G,zong,ufone,Active
1775,2168.4692,38.68,5,2499114.184,815,11400,13539,3,3G,3G,ufone,ufone,Active
1781,662.7964,7,0,264601.5156,182,1506,8317,1,Other,Other,telenor,ufone,Active
1785,960.5568,35.25,353.75,487125.9462,73,2954,13313,4,Other,Other,ufone,ufone,Churned
1792,2648.71,30.48,21.25,88369.0947,833,23459,83316,2,3G,3G,ptcl,ufone,Active
1794,1248.5104,57.73,158.75,5109445.314,308,16540,20590,2,3G,3G,ptcl,ufone,Active
1803,323.354,1.75,23.5,13397.5117,77,10578,9213,2,Other,Other,zong,ufone,Active
1822,920.16,0,0,53584.456,278,0,0,1,3G,3G,mobilink,ufone,Active
1822,1621.36,100.98,12.5,198.5088,339,12645,109895,1,2G,2G,mobilink,mobilink,Churned
1835,4246.56,122.8,0,889.876,1580,52860,98601,1,3G,3G,warid,ufone,Active
1850,39.28,18.48,0,10.749,4,490,920,1,Other,Other,ufone,ufone,Churned
1860,504.546,15.04,0,6.8154,78,19170,12812,1,3G,3G,ptcl,ufone,Churned
1867,1015.86,135.94,92.5,3707693.869,74,2524,8831,1,3G,3G,ufone,ufone,Active
1867,294.344,20.32,7.5,689476.9512,19,3012,3286,1,Other,Other,ptcl,ptcl,Churned
1877,1632.5604,50.66,1.25,5.0371,325,46484,38329,1,Other,Other,ptcl,ufone,Churned
1879,225.9328,25.65,1.25,23.2354,40,12,13947,1,,,ptcl,telenor,Churned
1883,712.064,19.24,26.25,1863.6113,150,13904,5377,1,2G,3G,warid,ufone,Active
1884,438.49,38.3,20,3461.6777,57,6657,13780,1,3G,3G,zong,mobilink,Churned
1886,69.44,11.95,0,33794.6855,4,0,1027,1,3G,3G,ptcl,ptcl,Churned
1908,171.05,44.75,27.5,1593.4805,19,1124,967,1,2G,2G,ufone,ufone,Churned
1912,876.27,0.87,0,1754570.742,74,0,0,2,3G,3G,zong,ufone,Active
1913,1146.21,0,0,1.04,522,4195,17316,2,2G,2G,telenor,ufone,Active
1916,187.1104,12.55,63.75,2491.7158,8,502,1601,1,3G,3G,ptcl,ptcl,Churned
1921,740.068,3.5,45,1540.4825,111,23520,26018,1,,,telenor,ufone,Active
1948,437.94,0,0,1964654.537,675,0,0,11,Other,Other,warid,ufone,Churned
1964,1174.822,1.75,238.75,5272612.691,115,4512,24678,1,Other,Other,warid,warid,Churned
1971,922.6,2.39,0,76402.3769,346,0,4481,1,3G,3G,warid,ufone,Active
1974,1047.55,7.87,250,4177100.395,16,275,4408,2,3G,3G,telenor,ufone,Active
1977,2341.4544,26.01,50.25,125704.6631,2172,17346,12770,1,Other,Other,ufone,ufone,Active
1987,362.81,18.95,0,4635.3145,43,2773,14879,1,3G,3G,mobilink,mobilink,Churned
1994,1470.1992,3.59,1.25,11.3418,634,13426,13511,2,Other,Other,ptcl,ufone,Active
2009,1293.47,18.44,3.75,62.6748,212,49932,30048,1,3G,3G,warid,ufone,Active
2013,1419.982,19.25,206.25,2259772.761,30,992,44084,1,3G,3G,telenor,ptcl,Churned
2029,360.048,21.51,2.5,132.9922,173,3150,9370,1,2G,2G,ptcl,ufone,Churned
2033,1853.43,5.98,5,556725.6933,917,0,30831,5,3G,3G,warid,ufone,Active
2040,1180.4804,0.02,52.5,7587747.121,700,3585,9978,2,3G,3G,telenor,ufone,Active
2051,342.37,2.62,0,547.8291,315,4853,0,1,2G,2G,telenor,ufone,Active
2067,423.61,135.66,21.25,3854.166,15,2571,1207,1,2G,2G,ptcl,ptcl,Active
2067,1939.4304,3.5,272.5,2910169.652,381,19001,8090,1,,3G,ufone,ufone,Active
2081,1230.82,6.85,23.75,283468.3819,125,7852,41160,1,3G,3G,ufone,telenor,Active
2083,679.97,13.58,18.75,460147.3272,292,1014,980,2,3G,3G,warid,ufone,Active
2086,771.0304,31.6,5,875100.6367,222,7051,47468,1,3G,3G,warid,mobilink,Churned
2094,1791.2456,12.57,0,85700.3008,911,10735,48498,1,2G,2G,telenor,ufone,Active
2098,496.1844,39.07,0,8738505.772,44,15741,3023,4,3G,3G,ufone,ufone,Active
2100,782.15,20.23,75,116751.5869,342,4717,6904,1,3G,3G,ptcl,ufone,Churned
2106,1458.39,5.98,0,1086.1651,1025,0,2629,3,2G,2G,warid,ufone,Active
2116,1187.7396,18.37,20,25908963.2,102,4112,22947,2,3G,3G,warid,ufone,Active
2121,3640.582,156.79,283.75,17291853.57,285,18775,112237,2,3G,3G,ptcl,zong,Active
2132,332.8,5.25,21.25,7639898.588,30,1937,3547,3,2G,3G,ufone,ptcl,Active
2139,1319.4,1.75,91.25,3223359.447,120,36453,3872,1,3G,3G,ptcl,ufone,Active
2143,491.198,49.98,28.75,1417258.401,211,6369,16385,1,3G,3G,telenor,ufone,Churned
2162,148.172,8.04,31.25,668938.834,15,84,6716,1,Other,Other,ufone,ufone,Churned
2169,588.8,10.76,61.25,1066516.375,81,980,537,1,,,ufone,mobilink,Churned
2175,554.13,6.99,153.75,673204.0342,33,3387,7241,1,2G,3G,warid,mobilink,Active
2180,883.17,0,0,24901.0264,712,0,179,2,2G,2G,warid,ufone,Active
2185,1588.04,17.94,0,546933.7715,1360,9840,12812,1,2G,2G,ufone,ufone,Active
2185,1264.97,128.43,22.5,438808.2159,165,11969,47967,15,3G,3G,zong,ptcl,Churned
2201,758.62,40.14,51.25,12755.293,119,21872,16423,2,3G,3G,telenor,ufone,Active
2231,61.6004,11.31,5,641.5312,11,108,669,1,3G,3G,mobilink,ptcl,Churned
2236,380.7112,15.91,0,30.541,61,1482,18465,1,3G,3G,telenor,telenor,Churned
2237,891.412,19.58,25,455796.5185,447,13581,10325,1,Other,Other,telenor,ufone,Churned
2237,42.21,4.78,25,9426.9219,3,0,537,1,3G,3G,ptcl,ptcl,Churned
2245,2761.8,26.7,213.75,1276707.515,76,9179,33008,1,3G,3G,0,mobilink,Churned
2261,72.616,13.7,1.25,58.3242,8,335,0,1,2G,2G,ufone,ufone,Churned
2284,261.7852,5.57,11.25,702.9053,73,1579,4722,2,3G,3G,ufone,ptcl,Active
2292,545.042,6.49,50,481967.3311,32,753,10720,1,2G,2G,zong,zong,Active
2299,29.762,14.34,0,108.9141,3,24,179,1,3G,3G,ufone,ufone,Churned
2300,1203.162,22.74,20,3194449.683,725,13503,5604,3,3G,3G,ptcl,ufone,Active
2304,3611.16,48.77,26.25,10300976.04,1152,1470,76683,6,3G,3G,zong,ufone,Active
2308,481.9,0,125,620515.1875,3,0,609,1,2G,2G,,,Active
2312,1093.922,14.6,70,459247.2343,63,4651,3848,1,Other,Other,zong,ufone,Active
2322,757.268,31.22,81.5,26109600.31,26,502,9249,1,,,warid,ptcl,Active
2345,1173.1604,1.21,155,3004549.821,196,0,1969,2,3G,3G,mobilink,ufone,Active
2372,96.13,15.45,16.25,29.459,15,502,3191,2,2G,2G,mobilink,ptcl,Active
2381,34.41,7.17,5,546.4785,12,371,179,1,Other,Other,ufone,ufone,Churned
2394,2160.4356,30.92,50,50343292.57,451,14547,47514,1,3G,3G,warid,ufone,Active
2399,2534.69,8.33,42.5,2379061.373,697,0,26230,3,3G,3G,0,ufone,Active
2400,185.7184,17.86,22.5,2643.9883,18,24,6475,1,,,mobilink,mobilink,Churned
2417,142.03,7.05,1.25,36694.3652,13,2421,967,1,2G,2G,ptcl,ptcl,Active
2420,243.93,26.08,13.75,184331.4824,29,3705,6082,1,3G,3G,warid,ptcl,Churned
2426,1182.3276,263.38,3.75,2252.8438,113,1996,39607,1,3G,3G,warid,warid,Churned
2437,1082.31,27.43,22.5,573237.4248,108,29173,31141,1,3G,3G,telenor,ufone,Active
2437,305.85,13.15,23.75,9570.3828,27,3179,7183,1,2G,2G,mobilink,zong,Churned
2443,139.426,20.87,3.75,192,28,84,4469,1,3G,3G,ptcl,ptcl,Churned
2465,805.2024,60.97,0,49.9209,112,13380,34401,1,Other,Other,ufone,ufone,Churned
2470,1348.17,60.08,421.25,4017269.479,20,347,3812,1,3G,3G,warid,warid,Active
2471,519.882,8.92,2.5,401433.6513,82,4637,0,1,3G,3G,telenor,ufone,Churned
2480,2772.52,174.71,68.75,859323.0507,610,14054,63581,1,3G,3G,0,ufone,Active
2495,85.61,1.24,31.25,74275.2901,5,0,1350,3,3G,3G,ptcl,ptcl,Active
2499,1303.5856,28,78.75,3494.2705,240,52215,14089,1,2G,2G,zong,ufone,Active
2528,197.31,39.35,1.25,16.3115,27,8067,3585,1,3G,3G,ufone,ptcl,Churned
2533,1197.1784,14.34,0,1158535.702,530,0,4600,2,Other,Other,ufone,ufone,Churned
2539,505.88,8.75,1.25,3.6846,1156,24804,8102,1,3G,3G,0,ptcl,Active
2543,544.778,42.38,0,968509.3301,822,1996,2871,1,3G,3G,mobilink,ufone,Active
2552,184.8208,0,48.75,4327937.147,13,753,4278,1,Other,Other,ptcl,ptcl,Active
2557,14.21,0,0,41668.7041,3,24,490,2,2G,2G,ufone,ufone,Active
2573,247.2212,33.69,28.75,2099.3398,21,4195,4517,2,3G,3G,ptcl,ufone,Churned
2585,1313.1,0,0,3340274.291,456,0,0,1,3G,3G,warid,ufone,Active
2585,897.284,19.59,137.5,2229748.695,105,16902,10540,1,3G,3G,mobilink,mobilink,Churned
2587,1062.108,61.92,0,32.7051,471,30142,26616,1,2G,2G,warid,ufone,Churned
2604,178.0544,0,0,7301016.503,22,6201,1994,3,Other,Other,ufone,ufone,Active
2604,1916.8504,45.21,166.25,2889008.131,519,1590,32038,3,3G,3G,ptcl,ufone,Active
2637,3434.4732,97.8,56.25,3778.2275,3272,48793,85015,1,Other,Other,ufone,ufone,Active
2658,713.45,1.22,0,391293.7637,392,0,191,3,2G,2G,telenor,ufone,Active
2660,813.3808,27.98,18.75,330.6651,205,7584,16409,1,3G,2G,mobilink,ufone,Active
2667,649.458,26,45,1767.665,400,7451,6932,1,,,ufone,ufone,Active
2667,800.4288,6.89,196.25,1024072.837,16,1506,1611,2,2G,2G,ufone,ufone,Active
2668,5494.632,35.44,981.25,9890750.658,114,5844,9135,1,3G,3G,zong,ufone,Churned
2670,1195.49,14.92,72.5,2702688.549,278,0,16224,1,3G,3G,telenor,ufone,Churned
2673,1961.1204,36,77.5,31469390.37,57,2155,6703,1,3G,3G,warid,ufone,Active
2674,1444.38,11.37,298.75,1438707.392,72,12680,29554,1,3G,3G,warid,ufone,Active
2679,2253.51,5.25,57.5,2331874.917,1533,19551,42749,3,,,zong,ufone,Active
2691,1310.2728,36.75,0,4909702.271,364,8111,65351,2,3G,3G,0,ufone,Active
2692,1356.89,2.39,17.5,2783104.54,642,0,716,2,3G,3G,mobilink,ufone,Active
2696,1543.4276,10.5,1.25,2.6748,660,18530,8389,2,Other,Other,zong,ufone,Active
2699,642.05,1.75,0,208701.9014,800,239,537,1,2G,2G,telenor,ufone,Churned
2707,1313.1,0,0,3367450.12,1861,0,0,2,Other,Other,ufone,ufone,Active
2743,10165.442,573.37,1757.5,7020364.355,2184,56040,198653,1,3G,3G,telenor,ufone,Active
2760,1121.27,5.25,1.25,1972225.73,213,14663,3201,11,2G,2G,telenor,ufone,Active
2780,3908.46,13.7,353.75,1504235.35,1805,15888,165663,1,3G,3G,warid,ufone,Active
2798,3584.15,56.45,1448.75,2173399.189,432,8557,58734,2,3G,3G,ptcl,ufone,Active
2812,440.5016,6.72,77.5,946863.3144,41,2152,4790,8,3G,3G,warid,ptcl,Active
2820,242.17,80.66,26.25,858.5508,20,2862,4493,1,3G,3G,ptcl,ptcl,Churned
2829,1091.89,1.23,28.75,1875860.98,507,0,895,1,Other,Other,ufone,ufone,Active
2833,1340.582,43.92,1.25,221134.4307,155,2235,9035,1,3G,3G,ptcl,telenor,Churned
2838,544.098,19.72,6.25,434624.2656,187,502,6561,5,Other,Other,ufone,warid,Churned
2865,2188.06,0,6.25,366022.9961,959,9082,62892,1,,,telenor,ufone,Active
2872,1083.5468,0.87,0,92037.4433,772,5315,7421,2,Other,Other,warid,ufone,Active
2903,148.444,36.94,12.5,426885.2852,8,0,1576,1,3G,3G,ptcl,ptcl,Churned
2905,529.88,100.94,6.25,551842.8331,106,17224,10361,2,3G,3G,warid,ufone,Active
2921,1406.726,9.62,60,38053199.62,393,4401,25720,1,,,mobilink,ufone,Active
2932,818.37,43.08,5,138.1816,111,19589,21117,1,,3G,0,ptcl,Churned
2943,56.44,15.21,7.5,360.6484,1,0,179,1,3G,3G,ptcl,ptcl,Churned
2966,985.41,15.75,41.25,2013456.623,174,6478,29114,1,,,mobilink,ufone,Active
3019,354.3724,8.93,3.75,157332.0869,141,4057,6619,1,2G,2G,mobilink,ufone,Active
3020,343.95,71.21,2.5,21.9531,180,9557,179,1,3G,3G,0,ufone,Churned
3031,578.988,13.12,27.5,4529486.773,48,2367,6824,1,3G,3G,ufone,ufone,Active
3046,887.91,14.34,0,76915.0547,398,0,5556,1,3G,3G,zong,ufone,Active
3048,1113.61,0.6,0,46252.5127,678,5019,539,1,2G,2G,ptcl,ufone,Active
3060,2969.51,53.07,63.75,2009878.209,1247,12690,68124,3,Other,Other,ptcl,ufone,Active
3094,506.898,16.73,0,1853.8701,89,12,3130,1,Other,Other,ptcl,ufone,Churned
3096,1079.8984,2.39,8.75,17374263.26,223,477,550,3,3G,3G,mobilink,ufone,Active
3097,1152.33,15.75,0,124973.1816,510,10014,14689,11,2G,2G,ufone,ufone,Active
3098,989.52,1.2,12.5,1290513.913,557,0,901,2,Other,Other,warid,ufone,Active
3147,196.87,9.73,93.75,343113.8818,7,0,1325,1,Other,Other,zong,ptcl,Active
3155,1223.2404,0,1.25,1091551.36,397,8928,10612,1,3G,3G,ufone,ufone,Active
3168,623.42,42.68,11.25,36,73,0,23915,1,3G,3G,zong,zong,Churned
3183,307.532,0.01,3.75,50.0381,43,7668,10038,1,2G,2G,telenor,ufone,Active
3192,494.73,2.35,27.5,2555.8096,87,15430,14389,1,,,ptcl,ufone,Active
3210,1024.482,0.09,590,2718053.559,12,813,860,2,2G,2G,ptcl,ufone,Active
3211,905.43,9.49,161.25,4323788.261,11,1908,1039,1,3G,3G,0,ufone,Active
3213,749.94,23.61,47.5,890776.1983,75,1908,17937,2,3G,3G,mobilink,mobilink,Active
3215,1774.452,31.86,146.25,31942608.58,120,5430,32602,2,3G,3G,0,ufone,Active
3217,65.0844,20.23,0,31873.5566,2,0,251,1,Other,Other,ptcl,telenor,Churned
3265,1139.63,0,11.25,3379496.46,158,0,2148,1,3G,2G,ufone,ufone,Active
3266,2911.516,39.73,1.25,358.9854,891,11035,117135,4,2G,2G,zong,ufone,Active
3270,819.534,35.04,1.25,1036647.692,120,3251,15177,1,Other,Other,ptcl,telenor,Active
3274,1018.508,146.53,23.75,6639.9375,141,10267,43729,2,3G,3G,ufone,mobilink,Churned
3279,917.59,0,0,1846070.15,1073,0,2151,1,2G,2G,telenor,ufone,Active
3299,1589.59,11.96,80,10155309.58,1096,2474,9583,1,3G,3G,ufone,ufone,Active
3319,102.698,23.9,6.25,245.5137,5,2904,358,1,Other,Other,ptcl,ufone,Churned
3325,532.53,15.92,12.5,446.7168,54,2385,22504,1,3G,3G,ptcl,mobilink,Churned
3326,1396.7108,0,48.75,3405497.508,855,0,358,4,Other,Other,zong,ufone,Active
3340,566.66,0,0,287165.4756,210,502,920,1,2G,3G,0,ufone,Active
3341,919.066,5.99,0,200704.8692,502,0,1367,3,2G,2G,zong,ufone,Active
3382,1046.328,6.71,0,312453.664,364,6387,1899,2,Other,Other,ptcl,ufone,Active
3399,616.952,19.24,1.25,4647.8037,58,24918,1350,3,3G,3G,warid,ufone,Active
3418,61.7884,23.9,18.75,893.3828,3,0,681,1,Other,Other,mobilink,mobilink,Churned
3459,404.86,36.65,78.75,103838.3018,76,4974,5901,1,2G,2G,ptcl,ptcl,Churned
3460,1045.148,13.12,31.25,82667.3496,339,3251,4553,2,3G,3G,telenor,ufone,Active
3483,2811.32,99.43,7.5,1006882.501,379,13638,68409,3,2G,3G,0,ufone,Active
3497,1740.914,67.37,87.5,19453.8086,471,13390,28780,1,3G,3G,zong,ufone,Active
3504,367.002,27.45,12.5,725414.3242,50,5367,6944,8,3G,2G,ufone,ufone,Active
3504,299.57,5.38,27.5,444258.4561,27,954,7231,1,2G,2G,telenor,telenor,Churned
3509,2227.844,0,93.75,3219862.67,753,0,3644,2,2G,2G,zong,ufone,Active
3515,1021.68,0.6,1.25,44264.4648,753,1212,179,1,2G,2G,ptcl,ufone,Active
3521,602.83,21.87,3.75,121075.4375,180,8571,2008,1,,,telenor,ufone,Active
3561,961.8212,58.48,121.25,435237.2461,61,2978,5784,1,2G,2G,ufone,ufone,Active
3566,1454.096,15.75,27.5,73060.8311,603,15687,9823,1,2G,2G,warid,ufone,Active
3576,153.734,7.17,7.5,289.2783,37,2272,2402,1,2G,2G,ptcl,ptcl,Churned
3609,334.31,0,83.75,801397.2559,15,1482,7696,1,3G,3G,ufone,ptcl,Active
3612,3240.65,0.6,1.25,9459298.685,1991,0,4271,2,3G,3G,0,ufone,Active
3638,573.2108,34.04,33.75,22440958.85,52,216,4893,1,3G,3G,mobilink,mobilink,Active
3651,133.1844,32.18,0,107.125,7,1004,1398,2,2G,3G,ptcl,ptcl,Churned
3657,2857.67,17.94,0,345398.6182,335,0,597,2,3G,3G,warid,ufone,Active
3661,1285.72,36.23,61.25,1709812.973,55,2101,5555,1,Other,Other,ptcl,telenor,Active
3667,716.1,24.12,1.25,0.2969,89,34344,8592,4,2G,2G,0,ufone,Active
3671,476.97,19.16,183.75,466197.4561,21,992,4299,1,3G,3G,zong,ptcl,Active
3675,56.3424,38.24,1.25,21.126,2,0,358,1,,3G,ptcl,ptcl,Churned
3686,1102.0668,20.02,37.5,382804.5332,99,16672,21512,1,Other,Other,ptcl,ufone,Active
3689,900.98,0,0,73951.0078,723,1733,179,4,2G,2G,warid,ufone,Active
3700,1248.978,12.89,15,1046183.858,486,0,537,2,3G,3G,mobilink,ufone,Active
3701,442.0844,1.75,5,292.5508,165,3353,6334,1,2G,2G,telenor,ufone,Active
3702,514.698,2.62,56.25,1044334.345,49,1340,5868,2,Other,Other,warid,ufone,Active
3702,187.5,30.98,0,40543.8496,18,287,5043,1,3G,3G,zong,ptcl,Churned
3705,875.4,0,0,165154.3701,633,0,0,1,2G,2G,telenor,ufone,Active
3705,1471.918,68.25,203.75,12750606.7,96,1652,15118,3,3G,3G,ufone,ufone,Active
3738,170.44,0,22.5,8602.2959,17,634,932,1,3G,3G,mobilink,ufone,Active
3744,1026.798,1.76,36.25,355.0362,1253,20376,8640,3,2G,2G,ptcl,ufone,Active
3762,317.362,0.6,16.25,800.7617,53,4830,3776,1,Other,Other,zong,ufone,Active
3783,2398.22,12.25,23.75,51240.4912,725,24352,73034,1,,,zong,ufone,Active
3784,4383.3,0,53.75,3442257.592,1020,0,24821,2,3G,3G,mobilink,ufone,Active
3794,997.69,0,2.5,5627720.023,598,0,716,4,3G,3G,telenor,ufone,Active
3801,1053.01,9.48,32.5,225494.2549,1238,5713,4813,1,3G,3G,mobilink,ufone,Active
3804,230.53,12.25,8.75,312.6758,41,8856,9321,2,3G,2G,ptcl,ptcl,Active
3805,681.936,81.47,3.75,3624.375,117,39261,3657,2,2G,2G,ufone,ufone,Active
3831,1645.79,0,0,8851.4658,627,1685,14818,1,3G,2G,zong,ufone,Active
3837,87.596,26.29,2.5,12.6611,28,1949,895,2,2G,3G,ptcl,ufone,Churned
3840,1220.48,0,0,30812.7959,1256,239,14280,1,3G,3G,ufone,ufone,Active
3841,899.39,0.03,127.5,1139263.481,138,0,2685,1,3G,3G,ufone,ufone,Churned
3850,650.4308,14.34,1.25,19.5117,122,23007,21811,1,2G,2G,telenor,ufone,Churned
3869,379.3112,11.95,27.5,3007865.669,50,588,251,1,3G,3G,ufone,ufone,Churned
3877,1332.886,9.48,3.75,346760.1201,273,6694,47457,3,2G,3G,telenor,ufone,Active
3886,2840.91,43.96,1.25,1156397.873,2075,251,134402,1,3G,3G,mobilink,ufone,Churned
3887,1503.474,10.76,5,1420001.152,993,4364,6285,3,Other,Other,telenor,ufone,Active
3891,5993,87.94,546.25,1954697.793,218,46380,6131,2,3G,3G,0,ufone,Active
3901,1452.7456,19.57,155,1629975.602,667,12754,12190,6,3G,3G,mobilink,ufone,Active
3920,3911.3,53.73,0,29129.9268,1807,21518,146156,2,3G,3G,warid,ufone,Active
3955,1029.14,24.5,17.5,590660.2422,339,15406,6346,1,2G,3G,mobilink,ufone,Active
3962,1465.878,21.44,92.5,2826443.068,629,1195,1134,1,3G,3G,warid,ufone,Active
3994,804.0848,7,0,2364.6768,127,30071,8091,2,Other,Other,ptcl,ufone,Active
4027,3415.2864,0,21.25,25161008.91,853,744,112070,1,3G,3G,0,ufone,Active
4038,1222.93,13.63,0,274207.4853,732,0,2752,1,2G,2G,ptcl,ufone,Active
4075,1689.97,14.34,0,1649440.935,1119,0,16969,2,3G,3G,mobilink,ufone,Active
4083,2022.48,0,17.5,18146779.08,698,0,1611,1,3G,3G,ptcl,ufone,Active
4083,380.03,83.72,155,83681.917,20,2486,4852,1,3G,3G,ptcl,zong,Churned
4102,1143.9,1.75,0,5690.0996,571,1745,21546,1,2G,2G,mobilink,ufone,Active
4131,1130.03,11.96,1.25,1759968.18,1002,0,179,1,,,warid,ufone,Active
4151,541.682,0,0,15912.5723,162,5450,4613,5,2G,2G,ptcl,ufone,Active
4153,113.868,19.98,22.5,2317.459,5,1243,251,1,3G,3G,telenor,ufone,Active
4154,517.23,63.34,8.75,85047.6143,181,26352,7709,1,,,ufone,ufone,Active
4158,1360.42,0,0,62424.3115,401,0,3346,1,3G,3G,ufone,ufone,Active
4164,2721.91,30.5,0,42639.2265,2216,11472,20255,3,,,zong,ufone,Active
4190,1900.89,14.63,191.25,12871351.8,166,70596,6309,1,3G,3G,mobilink,ufone,Active
4192,1232.23,32.26,0,67341.581,585,0,12068,5,3G,3G,ufone,ufone,Active
4192,1313.1,0,0,1895829.15,443,0,0,1,3G,3G,ptcl,ufone,Active
4222,1313.1,0,0,2174469.22,293,0,0,6,3G,3G,telenor,ufone,Active
4233,1340.2544,78.03,72.5,11694.8086,186,29388,59376,1,3G,3G,warid,ufone,Active
4236,2567.95,16.73,7.5,813623.8799,624,0,100260,1,3G,3G,ufone,ufone,Churned
4238,920.19,18.23,6.25,647703.8994,1206,0,2031,2,3G,3G,telenor,ufone,Active
4631,2402.2836,14.18,68.75,39447583.26,98,16591,14973,5,3G,3G,warid,ufone,Active
4632,974.28,48.93,120,365654.5869,92,20988,21153,1,2G,2G,warid,ufone,Active
4862,925.89,0,6.25,3878935.695,674,0,240,1,3G,3G,ptcl,ufone,Active
4863,1400.1604,182.78,77.5,311973.1495,95,10971,39032,1,3G,3G,mobilink,ufone,Churned
4865,2528.67,77.72,10,1660324.604,541,0,42780,1,3G,3G,telenor,ufone,Active
4866,1839.6708,47.8,0,1016740.946,812,0,37282,1,3G,3G,ufone,ufone,Active
4869,400.0004,40.24,25,560.1455,38,3167,12464,5,3G,3G,warid,mobilink,Active
4869,2626.2,0,0,1426128.164,1664,0,0,2,3G,3G,zong,ufone,Active
